url,text
https://tylersbdc.com/,"Tyler Small Business Development Center | Tyler, TX Follow Us x a ! 903-510-2975 Directions Contact us to get the leverage your business needs today Fill out our assessment and get started today! We Are Now Open Contact Us X Want to stay in the know? Join our mailing list to receive emails with helpful resources and information on our upcoming events! Continue to Website Join Our Mailing List Free Business Advising Business Classes Tyler SBDC We're all about business on all levels. Whether you are an existing business in need of expansion and further development, additional training, or research capabilities; or a start-up in need of a business plan and preparation of paperwork for SBA loan lenders in your area, we can help you plan and prepare. The Tyler SBDC is a partnership program working with the U.S. Small Business Administration (SBA), the State of Texas, and Tyler Junior College to provide small businesses with the practical assistance needed to survive, grow, and prosper in our seven county service area of Smith, Wood, Cherokee, Nacogdoches, Shelby, Sabine, and San Augustine. Contact Us Join Our Mailing List Start-up Business Assessment Existing Business Assessment SizeUp 2022 Small Business Credit Survey"""
https://tylersbdc.com/about-us,"About Us | Tyler Small Business Development Center Follow Us x a ! 903-510-2975 Directions Who We Are The SBDC is a partnership program with the U.S. Small Business Administration. The SBDC is designed to provide small businesses with the practical assistance needed to survive, grow, and prosper. The SBDC program is part of a nationwide system that links the resources of federal, state, and local government to those of colleges, universities, and the private sector to meet the specialized needs of small businesses. Advising and other services are provided by qualified professionals. Don Proudfoot SBDC Director Kay Bookout SBDC Staff Coordinator/Research Assistant Brad Gottshalk Business Advisor Where We Serve County Service Area How We Can Help You In your first meeting, a counselor will make an assessment of your needs and discuss options available to meet those needs. Further discussion and/or on-site visits by the adviser help define your plans and pinpoint a strategy to achieve them. For your appointment or research request, please download & fill out the required forms below as well as taking the Assessment Survey to save valuable time during your appointment. Form 641/Counseling Form & Client Agreement Return forms via email to kboo@tjc.edu, or fax to 903-510-2978. Reasonable accommodations for persons with disabilities and Limited English Proficiency (LEP) will be made if requested at least two weeks in advance. Start-up Business Assessment Existing Business Assessment'"
https://tylersbdc.com/blog,"Blog | Tyler Small Business Development Center Follow Us x a ! Home Services Business Advice Classes FAQs Events Success Stories About Us Blog SizeUp Contact Us 903-510-2975 Directions U.S. Small Business Administration Blog Click the photo to stay up to date on the latest information Home Services Business Advice Classes FAQs Events Success Stories About Us Blog SizeUp Contact Us Copyright  2023 Tyler Small Business Development Center, all rights reserved. 1530 SSW Loop 323, Ste 100, Tyler , TX 75701 (903) 510-2975'"
https://tylersbdc.com/business-advice,"Business Advice | Tyler Small Business Development Center Follow Us x a ! 903-510-2975 Directions Business Advising The SBDC offers free one-on-one advising for start-up and existing businesses in the retail, wholesale, manufacturing, and service industries. Our Advisors can help you  Prepare financial projections for loan package  Conduct financial analysis and improve profitability  Develop competitive strategies  Cope with government regulation and taxes  Design a marketing plan  Understand and secure loans and other sources of capital  Keep abreast of current technology  Brainstorming and research  Restructure debt analysis  Prepackage Interview Process for SBA Loans  Turnaround Advising Follow these steps to meet with a business advisor Step 1 Fill out/ download the following forms. Start-up Business Assessment Existing Business Assessment Fill out the Form 641/Client Agreement Step 2: You will be contacted by our office to direct you to the appropriate resource.'"
https://tylersbdc.com/classes,"Classes | Tyler Small Business Development Center Follow Us x a ! 903-510-2975 Directions How to Start a Business and Market lt on Social Media Tyler SBDC offers a low-cost monthly class for individuals interested in starting a small business. This single-session class provides an excellent opportunity for individuals to determine if small business ownership is right for them. This class also covers current social media trends and how to use platforms such as Instagram, Facebook, YouTube, and more to market their new business. This class is held on Tuesdays as follows: Tuesday 6/6 6-8 pm Tuesday 7/11 6-8 pm Tuesday 8/1 6-8 pm Location: RTDC 112 Registration Fee: $25 Call TJC School of Continuing Studies at 903-510-2900 to register and pay Contact Us'"
https://tylersbdc.com/contact-us,"Contact Us | Tyler Small Business Development Center Follow Us x a ! 903-510-2975 Directions Tyler Small Business Development Center 1530 SSW Loop 323 Suite 100 Tyler, TX 75701 GET DIRECTIONS Call Us Phone: 903-510-2975 Hours Mon: 8:00AM-5:00PM Tue: 8:00AM-5:00PM Wed: 8:00AM-5:00PM Thu: 8:00AM-5:00PM Fri: 8:00AM-5:00PM Sat: Closed Sun: Closed Email Us Thank you for visiting our website. Please fill out the following form to send us a message. Please click on the ""SUBMIT"" button when you are ready to send your message. You may use this form to request more information about our services, and to provide feedback about this website. We look forward to hearing from you!'"
https://tylersbdc.com/events,"Events | Tyler Small Business Development Center Follow Us x a ! Home Services Business Advice Classes FAQs Events Success Stories About Us Blog SizeUp Contact Us 903-510-2975 Directions Check Back Soon! Home Services Business Advice Classes FAQs Events Success Stories About Us Blog SizeUp Contact Us Copyright  2023 Tyler Small Business Development Center, all rights reserved. 1530 SSW Loop 323, Ste 100, Tyler , TX 75701 (903) 510-2975'"
https://tylersbdc.com/faqs,"FAQs | Tyler Small Business Development Center Follow Us x a ! 903-510-2975 Directions Frequently Asked Questions Are there any grants available to start a business? The SBA does not offer grants to start or expand small businesses, although it does offer a wide variety of loan programs. SBA does offer some grant programs, but these generally support non-profit organizations, intermediary lending institutions, and state and local governments. Click here for more information > What is a business plan and why do I need one? A business plan is a road map for the direction of your company and specifically defines your business and clearly states your goals. In addition, a good business plan is a crucial part of any loan package because it provides specific and organized information about your company and how you will repay borrowed money. Click here for more information > What types of permits and licenses are generally needed for starting a business? In addition to local permits and licenses which may be required, some businesses require specific licenses from the State of Texas. For a complete list of Business Licenses and Permits required for each type of business Click Here > Do I need a Federal Employer Identification Number (EIN) or tax number? In some cases, some sole proprietors with no employees and no sales tax can simply use their own social security number for tax purposes, but most businesses will need an EIN. You can apply by phone, fax, or mail. Click here for an SS-4 Form > Who is required to hold a Texas sales & use tax permit, and how do I get one? You must obtain a permit if you are engaged in business in Texas and you sell tangible personal property in Texas; lease tangible property in Texas; or sell taxable services in Texas. For more information on obtaining a permit from the Texas Comptroller of Public Accounts Click Here >'"
https://tylersbdc.com/resource,"Resource | Tyler Small Business Development Center Follow Us x a ! Home Services Business Advice Classes FAQs Events Success Stories About Us Blog SizeUp Contact Us 903-510-2975 Directions Tyler SBDC Services Research Capabilities Research Databases Available for Clients:  IBISWorld  BizMiner  Reference USA  Demographics Now Contact Kay Bookout for information. Contact Us Home Services Business Advice Classes FAQs Events Success Stories About Us Blog SizeUp Contact Us Copyright  2023 Tyler Small Business Development Center, all rights reserved. 1530 SSW Loop 323, Ste 100, Tyler , TX 75701 (903) 510-2975'"
https://tylersbdc.com/sizeup,"SizeUp | Tyler Small Business Development Center Follow Us x a ! Home Services Business Advice Classes FAQs Events Success Stories About Us Blog SizeUp Contact Us 903-510-2975 Directions Home Services Business Advice Classes FAQs Events Success Stories About Us Blog SizeUp Contact Us Copyright  2023 Tyler Small Business Development Center, all rights reserved. 1530 SSW Loop 323, Ste 100, Tyler , TX 75701 (903) 510-2975'"
https://tylersbdc.com/success-stories,"Success Stories | Tyler Small Business Development Center Follow Us x a ! 903-510-2975 Directions U.S. Small Business Administration Dallas/Fort Worth District Small Business Person(s) of the Year 2020 Stitchin' Heaven In 1996, Deb Luttrell opened a small quilt shop in Quitman, Texas called Stitchin' Heaven. In 2016, Deb's son, Clay Luttrell joined her to help manage the company's tremendous growth. What began as a small quilt shop is now the largest quilt shop in Texas encompassing a 17,500 sq. ft. retail shop, a retreat center, and rental cottages. The company also offers training classes, Bernina sewing machines, and travel excursions including Quilt Cruises and land-based Quilting Events in such places as Orlando, Nashville, Fort Worth, San Diego, and Las Vegas."""
https://tylersbdc.com/web,"Tyler Small Business Development Center | Tyler, TX Follow Us x a ! 903-510-2975 Directions Contact us to get the leverage your business needs today Fill out our assessment and get started today! We Are Now Open Contact Us X Want to stay in the know? Join our mailing list to receive emails with helpful resources and information on our upcoming events! Continue to Website Join Our Mailing List Free Business Advising Business Classes Tyler SBDC We're all about business on all levels. Whether you are an existing business in need of expansion and further development, additional training, or research capabilities; or a start-up in need of a business plan and preparation of paperwork for SBA loan lenders in your area, we can help you plan and prepare. The Tyler SBDC is a partnership program working with the U.S. Small Business Administration (SBA), the State of Texas, and Tyler Junior College to provide small businesses with the practical assistance needed to survive, grow, and prosper in our seven county service area of Smith, Wood, Cherokee, Nacogdoches, Shelby, Sabine, and San Augustine. Contact Us Join Our Mailing List Start-up Business Assessment Existing Business Assessment SizeUp 2022 Small Business Credit Survey"""
